row,reason
4360,'int' object has no attribute 'strip'
4361,'int' object has no attribute 'strip'
4362,'int' object has no attribute 'strip'
4363,'int' object has no attribute 'strip'
4364,'int' object has no attribute 'strip'
4365,'int' object has no attribute 'strip'
4366,'int' object has no attribute 'strip'
4367,'int' object has no attribute 'strip'
4368,'int' object has no attribute 'strip'
4369,'int' object has no attribute 'strip'
4370,'int' object has no attribute 'strip'
4371,'int' object has no attribute 'strip'
4372,'int' object has no attribute 'strip'
4373,'int' object has no attribute 'strip'
4374,'int' object has no attribute 'strip'
4375,'int' object has no attribute 'strip'
4376,'int' object has no attribute 'strip'
4377,'int' object has no attribute 'strip'
4378,'int' object has no attribute 'strip'
4379,'int' object has no attribute 'strip'
4381,'int' object has no attribute 'strip'
4382,'int' object has no attribute 'strip'
4384,'int' object has no attribute 'strip'
4390,'int' object has no attribute 'strip'
4394,'int' object has no attribute 'strip'
4395,'int' object has no attribute 'strip'
4396,'int' object has no attribute 'strip'
4404,'int' object has no attribute 'strip'
4408,'int' object has no attribute 'strip'
4409,'int' object has no attribute 'strip'
4410,'int' object has no attribute 'strip'
4449,'int' object has no attribute 'strip'
4450,'int' object has no attribute 'strip'
4451,'int' object has no attribute 'strip'
4452,'int' object has no attribute 'strip'
4453,'int' object has no attribute 'strip'
4454,'int' object has no attribute 'strip'
4455,'int' object has no attribute 'strip'
4456,'int' object has no attribute 'strip'
4458,'int' object has no attribute 'strip'
4459,'int' object has no attribute 'strip'
4460,'int' object has no attribute 'strip'
4461,'int' object has no attribute 'strip'
4462,'int' object has no attribute 'strip'
4463,'int' object has no attribute 'strip'
4469,'int' object has no attribute 'strip'
4470,'int' object has no attribute 'strip'
4472,'int' object has no attribute 'strip'
4473,'int' object has no attribute 'strip'
4474,'int' object has no attribute 'strip'
4475,'int' object has no attribute 'strip'
4476,'int' object has no attribute 'strip'
4477,'int' object has no attribute 'strip'
4478,'int' object has no attribute 'strip'
4479,'int' object has no attribute 'strip'
4480,'int' object has no attribute 'strip'
4481,'int' object has no attribute 'strip'
4483,'int' object has no attribute 'strip'
4485,'int' object has no attribute 'strip'
4486,'int' object has no attribute 'strip'
4487,'int' object has no attribute 'strip'
4488,'int' object has no attribute 'strip'
4489,'int' object has no attribute 'strip'
4490,'int' object has no attribute 'strip'
4491,'int' object has no attribute 'strip'
4492,'int' object has no attribute 'strip'
4493,'int' object has no attribute 'strip'
4494,'int' object has no attribute 'strip'
4495,'int' object has no attribute 'strip'
4496,'int' object has no attribute 'strip'
4497,'int' object has no attribute 'strip'
4498,'int' object has no attribute 'strip'
4500,'int' object has no attribute 'strip'
4501,'int' object has no attribute 'strip'
4503,'int' object has no attribute 'strip'
4504,'int' object has no attribute 'strip'
4505,'int' object has no attribute 'strip'
4506,'int' object has no attribute 'strip'
4507,'int' object has no attribute 'strip'
4508,'int' object has no attribute 'strip'
4509,'int' object has no attribute 'strip'
4510,'int' object has no attribute 'strip'
4511,'int' object has no attribute 'strip'
4512,'int' object has no attribute 'strip'
4513,'int' object has no attribute 'strip'
4514,'int' object has no attribute 'strip'
4515,'int' object has no attribute 'strip'
4516,'int' object has no attribute 'strip'
4517,'int' object has no attribute 'strip'
4518,'int' object has no attribute 'strip'
4521,'int' object has no attribute 'strip'
4522,'int' object has no attribute 'strip'
4523,'int' object has no attribute 'strip'
4524,'int' object has no attribute 'strip'
4525,'int' object has no attribute 'strip'
4526,'int' object has no attribute 'strip'
4528,'int' object has no attribute 'strip'
4529,'int' object has no attribute 'strip'
4533,'int' object has no attribute 'strip'
4534,'int' object has no attribute 'strip'
4535,'int' object has no attribute 'strip'
4536,'int' object has no attribute 'strip'
4537,'int' object has no attribute 'strip'
4538,'int' object has no attribute 'strip'
4539,'int' object has no attribute 'strip'
4540,'int' object has no attribute 'strip'
4541,'int' object has no attribute 'strip'
4543,'int' object has no attribute 'strip'
4544,'int' object has no attribute 'strip'
4546,'int' object has no attribute 'strip'
4547,'int' object has no attribute 'strip'
4548,'int' object has no attribute 'strip'
4549,'int' object has no attribute 'strip'
4551,'int' object has no attribute 'strip'
4552,'int' object has no attribute 'strip'
4553,'int' object has no attribute 'strip'
4554,'int' object has no attribute 'strip'
4555,'int' object has no attribute 'strip'
4556,'int' object has no attribute 'strip'
4557,'int' object has no attribute 'strip'
4558,'int' object has no attribute 'strip'
4559,'int' object has no attribute 'strip'
4560,'int' object has no attribute 'strip'
4561,'int' object has no attribute 'strip'
4562,'int' object has no attribute 'strip'
4563,'int' object has no attribute 'strip'
4564,'int' object has no attribute 'strip'
4565,'int' object has no attribute 'strip'
4567,'int' object has no attribute 'strip'
4568,'int' object has no attribute 'strip'
4569,'int' object has no attribute 'strip'
4573,'int' object has no attribute 'strip'
4574,'int' object has no attribute 'strip'
4575,'int' object has no attribute 'strip'
4576,'int' object has no attribute 'strip'
4577,'int' object has no attribute 'strip'
4579,'int' object has no attribute 'strip'
4580,'int' object has no attribute 'strip'
4583,'int' object has no attribute 'strip'
4584,'int' object has no attribute 'strip'
4585,'int' object has no attribute 'strip'
4586,'int' object has no attribute 'strip'
4587,'int' object has no attribute 'strip'
4588,'int' object has no attribute 'strip'
4589,'int' object has no attribute 'strip'
4590,'int' object has no attribute 'strip'
4591,'int' object has no attribute 'strip'
4592,'int' object has no attribute 'strip'
4593,'int' object has no attribute 'strip'
4594,'int' object has no attribute 'strip'
4595,'int' object has no attribute 'strip'
4596,'int' object has no attribute 'strip'
4597,'int' object has no attribute 'strip'
4599,'int' object has no attribute 'strip'
4600,'int' object has no attribute 'strip'
4601,'int' object has no attribute 'strip'
4602,'int' object has no attribute 'strip'
4603,'int' object has no attribute 'strip'
4604,'int' object has no attribute 'strip'
4605,'int' object has no attribute 'strip'
4606,'int' object has no attribute 'strip'
4607,'int' object has no attribute 'strip'
4608,'int' object has no attribute 'strip'
4609,'int' object has no attribute 'strip'
4610,'int' object has no attribute 'strip'
4612,'int' object has no attribute 'strip'
4613,'int' object has no attribute 'strip'
4614,'int' object has no attribute 'strip'
4615,'int' object has no attribute 'strip'
4617,'int' object has no attribute 'strip'
4618,'int' object has no attribute 'strip'
4620,'int' object has no attribute 'strip'
4622,'int' object has no attribute 'strip'
4623,'int' object has no attribute 'strip'
4625,'int' object has no attribute 'strip'
4627,'int' object has no attribute 'strip'
4629,'int' object has no attribute 'strip'
4630,'int' object has no attribute 'strip'
4631,'int' object has no attribute 'strip'
4632,'int' object has no attribute 'strip'
4633,'int' object has no attribute 'strip'
4634,'int' object has no attribute 'strip'
4635,'int' object has no attribute 'strip'
4638,'int' object has no attribute 'strip'
4639,'int' object has no attribute 'strip'
4640,'int' object has no attribute 'strip'
4641,'int' object has no attribute 'strip'
4642,'int' object has no attribute 'strip'
4643,'int' object has no attribute 'strip'
4644,'int' object has no attribute 'strip'
4645,'int' object has no attribute 'strip'
4646,'int' object has no attribute 'strip'
4648,'int' object has no attribute 'strip'
4650,'int' object has no attribute 'strip'
4651,'int' object has no attribute 'strip'
4652,'int' object has no attribute 'strip'
4655,'int' object has no attribute 'strip'
4656,'int' object has no attribute 'strip'
4657,'int' object has no attribute 'strip'
4658,'int' object has no attribute 'strip'
4659,'int' object has no attribute 'strip'
4660,'int' object has no attribute 'strip'
4661,'int' object has no attribute 'strip'
4662,'int' object has no attribute 'strip'
4663,'int' object has no attribute 'strip'
4665,'int' object has no attribute 'strip'
4667,'int' object has no attribute 'strip'
4669,'int' object has no attribute 'strip'
4678,'int' object has no attribute 'strip'
4682,'int' object has no attribute 'strip'
4683,'int' object has no attribute 'strip'
4684,'int' object has no attribute 'strip'
4685,'int' object has no attribute 'strip'
4686,'int' object has no attribute 'strip'
4687,'int' object has no attribute 'strip'
4688,'int' object has no attribute 'strip'
4689,'int' object has no attribute 'strip'
4690,'int' object has no attribute 'strip'
4691,'int' object has no attribute 'strip'
4692,'int' object has no attribute 'strip'
4693,'int' object has no attribute 'strip'
4694,'int' object has no attribute 'strip'
4696,'int' object has no attribute 'strip'
4700,'int' object has no attribute 'strip'
