row,reason
785,missing base/program/year
786,missing base/program/year
787,missing base/program/year
788,missing base/program/year
789,missing base/program/year
790,missing base/program/year
791,missing base/program/year
792,missing base/program/year
793,missing base/program/year
794,missing base/program/year
795,missing base/program/year
796,missing base/program/year
797,missing base/program/year
798,missing base/program/year
799,missing base/program/year
800,missing base/program/year
801,missing base/program/year
802,missing base/program/year
803,missing base/program/year
804,missing base/program/year
805,missing base/program/year
806,missing base/program/year
807,missing base/program/year
808,missing base/program/year
809,missing base/program/year
810,missing base/program/year
811,missing base/program/year
812,missing base/program/year
813,missing base/program/year
814,missing base/program/year
815,missing base/program/year
816,missing base/program/year
817,missing base/program/year
818,missing base/program/year
819,missing base/program/year
820,missing base/program/year
821,missing base/program/year
822,missing base/program/year
823,missing base/program/year
824,missing base/program/year
825,missing base/program/year
826,missing base/program/year
827,missing base/program/year
828,missing base/program/year
829,missing base/program/year
830,missing base/program/year
831,missing base/program/year
832,missing base/program/year
833,missing base/program/year
834,missing base/program/year
835,missing base/program/year
836,missing base/program/year
837,missing base/program/year
838,missing base/program/year
839,missing base/program/year
840,missing base/program/year
841,missing base/program/year
842,missing base/program/year
843,missing base/program/year
844,missing base/program/year
845,missing base/program/year
846,missing base/program/year
847,missing base/program/year
848,missing base/program/year
849,missing base/program/year
850,missing base/program/year
851,missing base/program/year
852,missing base/program/year
853,missing base/program/year
854,missing base/program/year
855,missing base/program/year
856,missing base/program/year
857,missing base/program/year
858,missing base/program/year
859,missing base/program/year
860,missing base/program/year
861,missing base/program/year
862,missing base/program/year
863,missing base/program/year
864,missing base/program/year
865,missing base/program/year
866,missing base/program/year
867,missing base/program/year
868,missing base/program/year
869,missing base/program/year
870,missing base/program/year
871,missing base/program/year
872,missing base/program/year
873,missing base/program/year
874,missing base/program/year
875,missing base/program/year
876,missing base/program/year
877,missing base/program/year
878,missing base/program/year
879,missing base/program/year
880,missing base/program/year
881,missing base/program/year
882,missing base/program/year
883,missing base/program/year
884,missing base/program/year
885,missing base/program/year
886,missing base/program/year
887,missing base/program/year
888,missing base/program/year
889,missing base/program/year
890,missing base/program/year
891,missing base/program/year
892,missing base/program/year
893,missing base/program/year
894,missing base/program/year
895,missing base/program/year
896,missing base/program/year
897,missing base/program/year
898,missing base/program/year
899,missing base/program/year
900,missing base/program/year
901,missing base/program/year
902,missing base/program/year
903,missing base/program/year
904,missing base/program/year
905,missing base/program/year
906,missing base/program/year
907,missing base/program/year
908,missing base/program/year
